Subfolder Path,Tstamps,Cfbfs
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_210641/", "60330.87958800409979,60330.88306022540928", "cfbf00000,cfbf00001,cfbf00002,cfbf00003,cfbf00004,cfbf00005,cfbf00006,cfbf00007,cfbf00008,cfbf00009,cfbf00010,cfbf00011,cfbf00012,cfbf00013,cfbf00014,cfbf00015,cfbf00016,cfbf00017,cfbf00018,cfbf00019,cfbf00020,cfbf00021,cfbf00022,cfbf00023,cfbf00024,cfbf00025,cfbf00026,cfbf00027,cfbf00028,cfbf00029,cfbf00030,cfbf00031,cfbf00032,cfbf00033,cfbf00034,cfbf00035,cfbf00036,cfbf00037,cfbf00038,cfbf00039,cfbf00040,cfbf00041,cfbf00042,cfbf00043,cfbf00044,cfbf00045,cfbf00046,cfbf00047,cfbf00048,cfbf00049,cfbf00050,cfbf00051,cfbf00052,cfbf00053,cfbf00054,cfbf00055,cfbf00056,cfbf00057,cfbf00058,cfbf00059,cfbf00060,cfbf00061,cfbf00062"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_211358/", "60330.88464033290802,60330.88811255421751", "cfbf00000,cfbf00001,cfbf00004,cfbf00005,cfbf00006,cfbf00007,cfbf00008,cfbf00009,cfbf00010,cfbf00011,cfbf00012,cfbf00013,cfbf00014,cfbf00015,cfbf00016,cfbf00017,cfbf00018,cfbf00019,cfbf00020,cfbf00021,cfbf00022,cfbf00023,cfbf00024,cfbf00025,cfbf00026,cfbf00027,cfbf00028,cfbf00029,cfbf00030,cfbf00031,cfbf00032,cfbf00033,cfbf00034,cfbf00035,cfbf00036,cfbf00037,cfbf00038,cfbf00039,cfbf00040,cfbf00041,cfbf00042,cfbf00043,cfbf00044,cfbf00045,cfbf00046,cfbf00047,cfbf00048,cfbf00049,cfbf00050,cfbf00051,cfbf00052,cfbf00053,cfbf00054,cfbf00055,cfbf00056,cfbf00057,cfbf00058,cfbf00059,cfbf00060,cfbf00061,cfbf00062"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_212312/", "60330.89105737122009", "cfbf00000,cfbf00001,cfbf00002,cfbf00004,cfbf00005,cfbf00006,cfbf00007,cfbf00008,cfbf00009,cfbf00010,cfbf00011,cfbf00012,cfbf00013,cfbf00014,cfbf00015,cfbf00016,cfbf00017,cfbf00018,cfbf00019,cfbf00020,cfbf00021,cfbf00022,cfbf00023,cfbf00024,cfbf00025,cfbf00026,cfbf00027,cfbf00028,cfbf00029,cfbf00030,cfbf00031,cfbf00032,cfbf00033,cfbf00034,cfbf00035,cfbf00036,cfbf00037,cfbf00038,cfbf00039,cfbf00040,cfbf00041,cfbf00042,cfbf00043,cfbf00044,cfbf00045,cfbf00046,cfbf00047,cfbf00048,cfbf00049,cfbf00050,cfbf00051,cfbf00052,cfbf00053,cfbf00054,cfbf00055,cfbf00056,cfbf00057,cfbf00058,cfbf00059"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_212312/", "60330.89102833484503", "cfbf00060,cfbf00061,cfbf00062"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_212726/", "60330.89399004483130,60330.89746226614079", "cfbf00060,cfbf00061,cfbf00062"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_212726/", "60330.89399004483857,60330.89746226614807", "cfbf00000,cfbf00001,cfbf00002,cfbf00003,cfbf00004,cfbf00006,cfbf00007,cfbf00008,cfbf00009,cfbf00010,cfbf00011,cfbf00012,cfbf00013,cfbf00014,cfbf00015,cfbf00016,cfbf00017,cfbf00018,cfbf00019,cfbf00020,cfbf00021,cfbf00022,cfbf00023,cfbf00024,cfbf00025,cfbf00026,cfbf00027,cfbf00028,cfbf00029,cfbf00030,cfbf00031,cfbf00032,cfbf00033,cfbf00034,cfbf00035,cfbf00036,cfbf00037,cfbf00038,cfbf00039,cfbf00040,cfbf00041,cfbf00042,cfbf00043,cfbf00044,cfbf00045,cfbf00046,cfbf00047,cfbf00048,cfbf00049,cfbf00050,cfbf00051,cfbf00052,cfbf00053,cfbf00054,cfbf00055,cfbf00056,cfbf00057,cfbf00058,cfbf00059"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_213537/", "60330.89968117383251,60330.90315339514200", "cfbf00060,cfbf00061,cfbf00062"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_213537/", "60330.89968117383978,60330.90315339514927", "cfbf00000,cfbf00002,cfbf00003,cfbf00004,cfbf00005,cfbf00006,cfbf00007,cfbf00008,cfbf00009,cfbf00010,cfbf00011,cfbf00012,cfbf00013,cfbf00014,cfbf00015,cfbf00016,cfbf00017,cfbf00018,cfbf00019,cfbf00020,cfbf00021,cfbf00022,cfbf00023,cfbf00024,cfbf00025,cfbf00026,cfbf00027,cfbf00028,cfbf00029,cfbf00030,cfbf00031,cfbf00032,cfbf00033,cfbf00034,cfbf00035,cfbf00036,cfbf00037,cfbf00038,cfbf00039,cfbf00040,cfbf00041,cfbf00042,cfbf00043,cfbf00044,cfbf00045,cfbf00046,cfbf00047,cfbf00048,cfbf00049,cfbf00050,cfbf00051,cfbf00052,cfbf00053,cfbf00054,cfbf00055,cfbf00056,cfbf00057,cfbf00058,cfbf00059"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_214452/", "60330.90609821215185,60330.90957043346134", "cfbf00000,cfbf00001,cfbf00002,cfbf00004,cfbf00005,cfbf00006,cfbf00007,cfbf00008,cfbf00009,cfbf00010,cfbf00011,cfbf00012,cfbf00013,cfbf00014,cfbf00015,cfbf00016,cfbf00017,cfbf00018,cfbf00019,cfbf00020,cfbf00021,cfbf00022,cfbf00023,cfbf00024,cfbf00025,cfbf00026,cfbf00027,cfbf00028,cfbf00029,cfbf00030,cfbf00031,cfbf00032,cfbf00033,cfbf00034,cfbf00035,cfbf00036,cfbf00037,cfbf00038,cfbf00039,cfbf00040,cfbf00041,cfbf00042,cfbf00043,cfbf00044,cfbf00045,cfbf00046,cfbf00047,cfbf00048,cfbf00049,cfbf00050,cfbf00051,cfbf00052,cfbf00053,cfbf00054,cfbf00055,cfbf00056,cfbf00057,cfbf00058,cfbf00059"
"/beegfs/DATA/TRAPUM/SCI-20230907-DP-01//20240118-0008/20240121_214452/", "60330.90606917576952,60330.90954139707901", "cfbf00060"
